id;funding_goal;funding_goal_reached;finished;escrow_party_id;escrow_account_id;escrow_pip_id;currency_id;campaign_party_id;campaign_account_id;campaign_bank_id
1;28950;true;true;39432;19536;88055;6898;798;58821;15883
2;58692;false;true;96079;60625;92992;13159;19271;58085;47754
3;71918;false;false;61420;85501;64723;26019;50146;1937;95732
4;34504;true;true;30329;7048;99418;81054;95692;59117;68833
5;21123;true;true;57348;87462;38047;64764;39965;80449;4311
6;53574;false;true;2846;14484;36837;99522;63215;36293;28663
7;28136;false;true;39080;69351;59645;78897;74909;41499;26497
8;91452;true;false;51698;30298;9479;18348;95524;72857;69602
9;81444;true;false;87105;2485;56673;52401;78718;33880;14297
10;55842;true;true;93145;26806;27021;95440;19570;68004;54736
